latitude,longitude,moho
-90.0,-179.42,47.41802545811515
-90.0,-178.41896378830083,47.377624467448186
-90.0,-177.41792757660167,47.337119452819024
-90.0,-176.41689136490248,47.296509697633155
-90.0,-175.41585515320332,47.2557953681935
-90.0,-174.41481894150417,47.21497564024321
-90.0,-173.413782729805,47.17405020123624
-90.0,-172.41274651810585,47.133019032691664
-90.0,-171.41171030640666,47.091881742268015
-90.0,-170.4106740947075,47.050637593150896
-90.0,-169.40963788300834,47.00928669246787
-90.0,-168.40860167130919,46.96782842335233
-90.0,-167.40756545961003,46.926262636174215
-90.0,-166.40652924791084,46.884588816188625
-90.0,-165.40549303621168,46.84280657666022
-90.0,-164.40445682451252,46.80091577909843
-90.0,-163.40342061281336,46.75891555694034
-90.0,-162.4023844011142,46.71680632692369
-90.0,-161.40134818941505,46.67458687881299
-90.0,-160.40031197771586,46.632257406821736
-90.0,-159.3992757660167,46.58981748858787
-90.0,-158.39823955431754,46.54726626860429
-90.0,-157.39720334261838,46.504603919849615
-90.0,-156.3961671309192,46.461829747338925
-90.0,-155.39513091922004,46.41894333489472
-90.0,-154.39409470752088,46.37594449178869
-90.0,-153.39305849582172,46.33283249757733
-90.0,-152.39202228412256,46.289607474187505
-90.0,-151.3909860724234,46.24626845981038
-90.0,-150.38994986072422,46.20281522919686
-90.0,-149.38891364902506,46.15924763237126
-90.0,-148.3878774373259,46.115564733838255
-90.0,-147.38684122562674,46.07176653098941
-90.0,-146.38580501392755,46.02785244839106
-90.0,-145.3847688022284,45.98382219842097
-90.0,-144.38373259052923,45.93967470049756
-90.0,-143.38269637883008,45.89541045061924
-90.0,-142.38166016713092,45.85102839611136
-90.0,-141.38062395543176,45.80652839366667
-90.0,-140.3795877437326,45.7619095045884
-90.0,-139.3785515320334,45.7171718874597
-90.0,-138.37751532033425,45.672314773953985
-90.0,-137.3764791086351,45.627337695976166
-90.0,-136.3754428969359,45.582240253039345
-90.0,-135.37440668523675,45.53702176040315
-90.0,-134.3733704735376,45.491681775838515
-90.0,-133.37233426183843,45.44622011300453
-90.0,-132.37129805013927,45.400635852729465
-90.0,-131.37026183844011,45.35492889010129
-90.0,-130.36922562674096,45.30909850283206
-90.0,-129.36818941504177,45.263144049375114
-90.0,-128.3671532033426,45.217065449807706
-90.0,-127.36611699164345,45.170861621470976
-90.0,-126.3650807799443,45.124532490084675
-90.0,-125.36404456824512,45.078077289184876
-90.0,-124.36300835654595,45.03149545710767
-90.0,-123.36197214484679,44.98478660538967
-90.0,-122.36093593314763,44.93795019785102
-90.0,-121.35989972144847,44.89098541346539
-90.0,-120.3588635097493,44.843891898799484
-90.0,-119.35782729805013,44.79666900025404
-90.0,-118.35679108635097,44.74931603093137
-90.0,-117.35575487465181,44.701832883587485
-90.0,-116.35471866295265,44.654218351464806
-90.0,-115.35368245125348,44.6064720513059
-90.0,-114.35264623955432,44.558593454967195
-90.0,-113.35161002785514,44.510582079936285
-90.0,-112.35057381615599,44.46243687504102
-90.0,-111.34953760445681,44.41415754865375
-90.0,-110.34850139275765,44.36574346074849
-90.0,-109.3474651810585,44.317193867122114
-90.0,-108.34642896935932,44.26850796641884
-90.0,-107.34539275766016,44.219685599033255
-90.0,-106.34435654596099,44.170725326959655
-90.0,-105.34332033426183,44.12162693539722
-90.0,-104.34228412256267,44.07238978487294
-90.0,-103.3412479108635,44.023012923138594
-90.0,-102.34021169916434,43.97349604185729
-90.0,-101.33917548746518,43.9238381274663
-90.0,-100.33813927576601,43.87403840618572
-90.0,-99.33710306406685,43.824096235366596
-90.0,-98.33606685236768,43.77401075591479
-90.0,-97.33503064066852,43.72378137435953
-90.0,-96.33399442896936,43.67340735118705
-90.0,-95.33295821727019,43.622887639689
-90.0,-94.33192200557103,43.572221771570185
-90.0,-93.33088579387186,43.521408705684735
-90.0,-92.3298495821727,43.47044774054302
-90.0,-91.32881337047354,43.419338025294564
-90.0,-90.32777715877437,43.36807851818594
-90.0,-89.32674094707521,43.31666894859518
-90.0,-88.32570473537604,43.265107615417946
-90.0,-87.32466852367688,43.21339423743848
-90.0,-86.32363231197772,43.16152786618477
-90.0,-85.32259610027855,43.10950727701493
-90.0,-84.32155988857939,43.05733212006453
-90.0,-83.32052367688021,43.00500091504
-90.0,-82.31948746518106,42.952512838161056
-90.0,-81.3184512534819,42.89986701203452
-90.0,-80.31741504178272,42.847062676461064
-90.0,-79.31637883008356,42.794098248061346
-90.0,-78.3153426183844,42.740973226995266
-90.0,-77.31430640668523,42.68768636404275
-90.0,-76.31327019498607,42.634236684934876
-90.0,-75.3122339832869,42.58062311774847
-90.0,-74.31119777158774,42.526844460342545
-90.0,-73.31016155988858,42.472899800875894
-90.0,-72.30912534818941,42.41878789801194
-90.0,-71.30808913649025,42.36450763147877
-90.0,-70.30705292479108,42.31005777658356
-90.0,-69.30601671309192,42.25543727116383
-90.0,-68.30498050139276,42.200644636381185
-90.0,-67.30394428969359,42.14567905288277
-90.0,-66.30290807799443,42.09053882517037
-90.0,-65.30187186629526,42.0352228187985
-90.0,-64.3008356545961,41.97973002030267
-90.0,-63.29979944289694,41.924058752148994
-90.0,-62.29876323119777,41.86820781509596
-90.0,-61.29772701949861,41.81217555985495
-90.0,-60.29669080779945,41.75596104274882
-90.0,-59.29565459610028,41.69956241307591
-90.0,-58.29461838440112,41.642978357896936
-90.0,-57.293582172701946,41.586207347099844
-90.0,-56.29254596100279,41.52924783953131
-90.0,-55.29150974930363,41.47209807587569
-90.0,-54.290473537604456,41.41475690151128
-90.0,-53.2894373259053,41.35722197164068
-90.0,-52.288401114206124,41.299492237041704
-90.0,-51.287364902506965,41.24156548432802
-90.0,-50.28632869080781,41.183440298096684
-90.0,-49.28529247910865,41.12511483190974
-90.0,-48.28425626740946,41.06658696066734
-90.0,-47.2832200557103,41.00785511524009
-90.0,-46.28218384401114,40.94891688223652
-90.0,-45.281147632311985,40.88977059545141
-90.0,-44.280111420612826,40.830413980605954
-90.0,-43.27907520891364,40.770845152925176
-90.0,-42.27803899721448,40.711061849931866
-90.0,-41.27700278551532,40.65106174438915
-90.0,-40.27596657381616,40.59084241682285
-90.0,-39.274930362117004,40.53040161214449
-90.0,-38.27389415041782,40.46973696299392
-90.0,-37.27285793871866,40.40884595318494
-90.0,-36.2718217270195,40.34772562827857
-90.0,-35.27078551532034,40.286373521252244
-90.0,-34.26974930362118,40.22478695166137
-90.0,-33.268713091921995,40.162962859136314
-90.0,-32.26767688022284,40.10089829538629
-90.0,-31.266640668523678,40.03859004772312
-90.0,-30.26560445682452,39.9760351702098
-90.0,-29.26456824512536,39.913230079622736
-90.0,-28.263532033426202,39.85017174195309
-90.0,-27.262495821727015,39.78685577642682
-90.0,-26.261459610027856,39.72327902576217
-90.0,-25.260423398328697,39.65943753913234
-90.0,-24.25938718662954,39.59532675747687
-90.0,-23.25835097493038,39.53094281477388
-90.0,-22.257314763231193,39.466281206947315
-90.0,-21.256278551532034,39.40133704852633
-90.0,-20.255242339832876,39.336105375106854
-90.0,-19.254206128133717,39.27058098404086
-90.0,-18.253169916434558,39.20475844027169
-90.0,-17.25213370473537,39.1386316962562
-90.0,-16.251097493036212,39.072194657928776
-90.0,-15.250061281337054,39.00544032304242
-90.0,-14.249025069637895,38.938362068693095
-90.0,-13.247988857938736,38.87095207220409
-90.0,-12.24695264623955,38.803201751092274
-90.0,-11.24591643454039,38.73510242611155
-90.0,-10.244880222841232,38.66664446250434
-90.0,-9.243844011142073,38.597816714900546
-90.0,-8.242807799442915,38.52860715218412
-90.0,-7.241771587743727,38.459002567255084
-90.0,-6.240735376044569,38.38898745129336
-90.0,-5.23969916434541,38.31854460116665
-90.0,-4.238662952646251,38.2476524684098
-90.0,-3.2376267409470927,38.176285445617395
-90.0,-2.2365905292479056,38.10441052452006
-90.0,-1.235554317548747,38.03198171408076
-90.0,-0.2345181058495882,37.95892003929475
-90.0,0.7665181058495705,37.88504230802209
-90.0,1.7675543175487292,37.81045352833826
-90.0,2.7685905292479163,37.73528366139726
-90.0,3.769626740947075,37.659591236260894
-90.0,4.770662952646234,37.58341610091884
-90.0,5.771699164345392,37.50678872761273
-90.0,6.772735376044551,37.42973385689402
-90.0,7.773771587743738,37.352272184347385
-90.0,8.774807799442897,37.27442203167084
-90.0,9.775844011142055,37.196199171194166
-90.0,10.776880222841214,37.11761822992412
-90.0,11.777916434540373,37.038691930210916
-90.0,12.77895264623956,36.9594325344151
-90.0,13.779988857938719,36.87985100205333
-90.0,14.781025069637877,36.79995748140573
-90.0,15.782061281337036,36.719761979431496
-90.0,16.783097493036195,36.639273354834586
-90.0,17.784133704735353,36.558500413491856
-90.0,18.78516991643454,36.47745148820832
-90.0,19.7862061281337,36.39613382368407
-90.0,20.787242339832858,36.31455537703732
-90.0,21.788278551532017,36.23272293796981
-90.0,22.789314763231175,36.150643604141806
-90.0,23.790350974930362,36.068323788207636
-90.0,24.79138718662952,35.985770189181494
-90.0,25.79242339832868,35.902988671274215
-90.0,26.79345961002784,35.81998529536577
