Net,Station,Lat,Long,Moho_km,err_moho,Avg_Vp/Vs,Poisson’s_ratio,Elevation,Avg_Vp(km/s),Vp_err,Avg_Vs(km/s),Vs_err,N,Sediment,Location,Reference,Compilation,Comments (Method - other notes etc.),Sub-methods,Comments2,H2 (other methods),err,Vsn2,κ2,Unnamed: 25,Unnamed: 26
,,33.91,-90.93,32.0,,2.09,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,33.91,-87.17,43.0,,1.8,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,33.912102,-90.928497,35.75,,1.8025,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,33.913101,-87.169601,38.75,,1.9325,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,33.917,-91.772,29.25,,1.805,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,33.92,-104.69,48.0,,1.87,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,33.92,-103.82,35.0,,1.9,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,33.92,-91.77,32.0,,1.97,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,33.92,-81.53,36.0,,1.71,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,33.92,-6.75,32.8,,1.75,,,,,,,,,Africa,Mancilla2012,Stephenson 2024,Hk,-,,,,,,,
,,33.92,104.88,42.0,,1.76,,,,,,,,,Tibet_plat,Li2017,Stephenson 2024,Hk,-,,,,,,,
,,33.922901,-104.692802,47.25,,1.7775,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,33.923,-104.693,46.5,,1.82,,,,,,,,,America_North,Uranbaigal2014,Stephenson 2024,Hk,-,,,,,,,
,,33.923,-103.825,46.1,,1.65,,,,,,,,,America_North,Uranbaigal2014,Stephenson 2024,Hk,-,,,,,,,
,,33.923199,-103.8246,43.25,,1.7875,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,33.923401,-81.534698,34.0,,1.7325,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,33.925701,-105.436096,48.5,,1.7,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,33.926,-105.436,46.8,,1.69,,,,,,,,,America_North,Uranbaigal2014,Stephenson 2024,Hk,-,,,,,,,
,,33.927799,-94.731102,24.25,,1.815,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,33.92926,-6.75604,35.0,,1.72,,,,,,,,,Africa,Timoulali2022,Stephenson 2024,Hk,-,,,,,,,
,,33.9293,-6.756,32.0,,1.66,,,,,,,,,Africa,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,33.93,-106.05,40.0,,1.76,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,33.93,-105.44,48.0,,1.69,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,33.93,-94.73,26.0,,1.74,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
