Net,Station,Lat,Long,Moho_km,err_moho,Avg_Vp/Vs,Poisson’s_ratio,Elevation,Avg_Vp(km/s),Vp_err,Avg_Vs(km/s),Vs_err,N,Sediment,Location,Reference,Compilation,Comments (Method - other notes etc.),Sub-methods,Comments2,H2 (other methods),err,Vsn2,κ2,Unnamed: 25,Unnamed: 26
,,-40.83,172.53,61.0,,1.62,,,,,,,,,Oceania,EARS,Stephenson 2024,Hk,,,,,,,,
,,-38.11,142.32,42.0,,1.97,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-38.11,142.32,50.0,,1.84,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-37.97,145.16,35.0,,1.71,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-37.97,145.16,34.0,,1.84,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-36.42,148.61,31.0,,1.6,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-36.42,148.61,29.0,,1.6,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-36.1,144.75,25.0,,1.66,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-36.1,144.75,44.0,,1.7,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-35.36,149.09,38.0,,1.77,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-35.36,149.09,37.0,,1.82,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-35.36,150.47,37.0,,1.74,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-35.36,150.47,36.0,,1.76,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-35.32,149.0,39.1,,1.73,,,,,,,,,Australia,Bello2021,Stephenson 2024,Hk,-,,,,,,,
,,-35.32,149.0,26.0,,1.61,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-35.32,149.0,38.0,,1.77,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-35.32,149.36,38.5,,1.7,,,,,,,,,Australia,Bello2021,Stephenson 2024,Hk,-,,,,,,,
,,-35.32,149.36,38.0,,1.73,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-35.13,139.29,45.0,,1.62,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-35.13,139.29,41.0,,1.71,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-35.0,117.9,32.6,,1.772,,,,,,,,,Australia,Yuan2015,Stephenson 2024,Hk,-,,,,,,,
,,-35.0,117.9,33.0,,1.74,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-35.0,117.9,35.0,,1.7,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-34.89,138.64,39.0,,1.75,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-34.89,138.64,26.0,,2.1,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-34.29,146.06,34.0,,1.77,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-34.29,146.06,37.0,,1.71,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-34.26,135.72,29.0,,1.79,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-34.26,135.72,49.0,,1.62,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-33.66,115.38,34.6,,1.845,,,,,,,,,Australia,Yuan2015,Stephenson 2024,Hk,-,,,,,,,
,,-33.66,115.38,25.0,,1.6,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-33.66,115.38,45.0,,1.6,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-33.46,151.38,36.0,,1.76,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-33.46,151.38,26.0,,1.6,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-33.2,138.61,49.0,,1.6,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-33.2,138.61,48.0,,1.62,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-33.09,115.89,41.0,,1.67,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-33.09,115.89,36.0,,1.75,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-32.98,-71.02,52.0,,1.6,,,,,,,,,America_South,EARS,Stephenson 2024,Hk,,,,,,,,
,,-32.98,-71.02,64.0,,1.83,,,,,,,,,America_South,EARS,Stephenson 2024,Hk,,,,,,,,
,,-32.93,117.23,38.3,,1.83,,,,,,,,,Australia,Yuan2015,Stephenson 2024,Hk,-,,,,,,,
,,-32.93,117.23,37.0,,1.81,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-32.9277,117.239,37.6,,1.766,,,,,,,,,Australia,Mukherjee2022,Stephenson 2024,Hk,-,,,,,,,
,,-32.9277,117.239,41.6,,1.748,,,,,,,,,Australia,Mukherjee2022,Stephenson 2024,Hk,-,,,,,,,
,,-32.85,19.62,34.0,,1.62,,,,,,,,,Africa,Youssof2013,Stephenson 2024,Hk,-,,,,,,,
,,-32.85,19.62,66.0,,2.04,,,,,,,,,Africa,EARS,Stephenson 2024,Hk,,,,,,,,
,,-32.67,118.15,38.1,,1.794,,,,,,,,,Australia,Yuan2015,Stephenson 2024,Hk,-,,,,,,,
,,-32.67,118.15,36.0,,1.81,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-32.67,118.15,35.0,,1.82,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-32.23,148.63,39.0,,1.71,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-32.23,148.63,38.0,,1.75,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-32.15,-65.0,38.0,,-,,,,,,,,,America_South,Gans2011,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-32.15,-65.0,39.0,,1.77,,,,,,,,,America_South,Perarnau2012,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-32.04,122.79,43.0,,1.945,,,,,,,,,Australia,Yuan2015,Stephenson 2024,Hk,-,,,,,,,
,,-32.04,122.79,42.9,,1.88,,,,,,,,,Australia,Yuan2015,Stephenson 2024,Hk,-,,,,,,,
,,-32.01,116.04,44.5,,1.848,,,,,,,,,Australia,Yuan2015,Stephenson 2024,Hk,-,,,,,,,
,,-32.01,116.04,70.0,,1.77,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-32.01,116.04,38.0,,1.61,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-31.98,116.21,45.2,,1.788,,,,,,,,,Australia,Yuan2015,Stephenson 2024,Hk,-,,,,,,,
,,-31.98,116.21,36.0,,1.7,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-31.9783,116.208,34.6,,1.714,,,,,,,,,Australia,Mukherjee2022,Stephenson 2024,Hk,-,,,,,,,
,,-31.9783,116.208,36.4,,1.754,,,,,,,,,Australia,Mukherjee2022,Stephenson 2024,Hk,-,,,,,,,
,,-31.91,-64.66,38.0,,-,,,,,,,,,America_South,Gans2011,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-31.91,-64.66,36.7,,1.77,,,,,,,,,America_South,Perarnau2012,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-31.59,-64.55,38.0,,-,,,,,,,,,America_South,Gans2011,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-31.59,-64.55,35.1,,1.77,,,,,,,,,America_South,Perarnau2012,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-31.37,121.88,37.9,,1.73,,,,,,,,,Australia,Yuan2015,Stephenson 2024,Hk,-,,,,,,,
,,-31.37,121.88,36.0,,1.74,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-31.3669,121.882,36.85,,1.734,,,,,,,,,Australia,Mukherjee2022,Stephenson 2024,Hk,-,,,,,,,
,,-31.3669,121.882,37.9,,1.744,,,,,,,,,Australia,Mukherjee2022,Stephenson 2024,Hk,-,,,,,,,
,,-31.14,-64.96,37.0,,-,,,,,,,,,America_South,Gans2011,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-31.14,-64.96,36.5,,1.77,,,,,,,,,America_South,Perarnau2012,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-31.1,150.89,39.0,,1.77,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-31.1,150.89,40.0,,1.77,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-31.02,-64.64,36.0,,-,,,,,,,,,America_South,Gans2011,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-31.02,-64.64,36.1,,1.77,,,,,,,,,America_South,Perarnau2012,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-30.98,22.25,48.0,,1.75,,,,,,,,,Africa,Youssof2013,Stephenson 2024,Hk,-,,,,,,,
,,-30.98,22.25,49.0,,1.72,,,,,,,,,Africa,EARS,Stephenson 2024,Hk,,,,,,,,
,,-30.97,23.91,44.5,,1.74,,,,,,,,,Africa,Youssof2013,Stephenson 2024,Hk,-,,,,,,,
,,-30.97,23.91,48.0,,1.75,,,,,,,,,Africa,EARS,Stephenson 2024,Hk,,,,,,,,
,,-30.95,-69.08,68.9,,-,,,,,,,,,America_South,Ammirati2013,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-30.95,-69.08,66.0,,-,,,,,,,,,GSC_global_database,13A.4,Stephenson 2024,RF_other,unknown,,,,,,,
,,-30.93,21.27,45.0,,1.78,,,,,,,,,Africa,Youssof2013,Stephenson 2024,Hk,-,,,,,,,
,,-30.93,21.27,46.0,,1.75,,,,,,,,,Africa,EARS,Stephenson 2024,Hk,,,,,,,,
