# Metadata,# In some references the name of the compilation author is mentioned,,,,,,,,,,,,,,,,,,,,,,,,,
Net,Station,Lat,Long,Moho_km,err_moho,Avg_Vp/Vs,Poisson’s_ratio,Elevation,Avg_Vp(km/s),Vp_err,Avg_Vs(km/s),Vs_err,N,Sediment,Location,Reference,Compilation,Comments (Method - other notes etc.),Sub-methods,Comments2,H2 (other methods),err,Vsn2,κ2,,
,CHTG,27.6,88.64,54,,0,0,,0,,3.53,,,,India-Tibet,Acton,Singh 2015,,,,,,,,,
,CHTO,18.79,98.98,30.9,,1.65,0.21,,0,,0,,,,India-Tibet,Bai,Singh 2015,,,,,,,,,
,CHUL,33.6,78.65,78,,1.84,0.29,,0,,0,,,,India-Tibet,Hazarika,Singh 2015,,,,,,,,,
,CHUM,33.36,78.34,73,,1.85,0.294,,0,,0,,,,India-Tibet,Hazarika,Singh 2015,,,,,,,,,
,cy,23.13,99.26,33,,1.73,0.249,,6.2,,3.58,,,,India-Tibet,Li,Singh 2015,,,,,,,,,
,D01,34.18,95.83,76,,1.71,0.24,,6.4,,3.74,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,D06,33.79,96.73,80.9,,1.68,0.23,,6.2,,3.69,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,D06,33.79,96.73,72,,1.78,0.269,,6.48,,3.64,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,D07,34.78,96.17,65.1,,1.76,0.26,,6.2,,3.52,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,D07,34.78,96.17,68,,1.78,0.269,,6.4,,3.6,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,D08,34.92,94.78,69,,1.71,0.24,,6.4,,3.74,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,D08,34.92,94.78,66.9,,1.73,0.25,,6.2,,3.58,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,D09,35.12,93.96,72,,1.7,0.235,,6.4,,3.76,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,D09,35.12,93.96,68.7,,1.72,0.24,,6.2,,3.6,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,D10,34.37,97.92,63,,1.83,0.29,,6.2,,3.39,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,D10,34.37,97.92,63,,1.84,0.29,,6.4,,3.48,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,D11,34.06,97.2,61.9,,1.8,0.28,,6.2,,3.44,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,D11,34.06,97.2,64,,1.81,0.28,,6.4,,3.54,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,D12,33.41,97.28,78,,1.75,0.258,,6.48,,3.7,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,D12,33.41,97.28,75.7,,1.76,0.26,,6.2,,3.52,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,D13,33.01,97.11,74.8,,1.7,0.24,,6.2,,3.65,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,D13,33.01,97.11,73,,1.8,0.277,,6.48,,3.6,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,D14,32.95,96.08,78,,1.79,0.273,,6.48,,3.62,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,D15,32.85,95.44,62,,1.85,0.294,,6.48,,3.5,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,D18,32.89,94.7,76,,1.7,0.235,,6.48,,3.81,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,D18,32.89,94.7,72.4,,1.76,0.26,,6.2,,3.52,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,D19,34.27,94.92,70,,1.72,0.245,,6.4,,3.72,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,D19,34.27,94.92,67.5,,1.78,0.27,,6.2,,3.48,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,D21,31.87,93.03,79,,1.79,0.273,,6.47,,3.61,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,D23,31.54,95.26,69.3,,1.75,0.26,,6.2,,3.54,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,D23,31.54,95.26,73,,1.75,0.258,,6.48,,3.7,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,D24,31.16,96.47,74.1,,1.74,0.25,,6.2,,3.56,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,D24,31.16,96.47,75,,1.76,0.262,,6.4,,3.64,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,D25,31.99,96.51,75.8,,1.68,0.23,,6.2,,3.69,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,D25,31.99,96.51,74,,1.77,0.266,,6.4,,3.62,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,D26,32.46,96.39,70.9,,1.81,0.28,,6.2,,3.43,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,D26,32.46,96.39,72,,1.82,0.284,,6.48,,3.56,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,DCD,37.9,95.4,61,,1.69,0.231,,6.3,,3.73,,,,India-Tibet,Tian,Singh 2015,,,,,,,,,
,DCH,32.68,77.2,56.3,,0,0,,0,,0,,,,India-Tibet,Rai,Singh 2015,,,,,,,,,
,DHT,40,94.8,49.2,,1.79,0.273,,6.3,,3.52,,,,India-Tibet,Tian,Singh 2015,,,,,,,,,
,DJLG,26.99,88.27,47,,0,0,,0,,3.59,,,,India-Tibet,Acton,Singh 2015,,,,,,,,,
,DLH,37.4,97.4,60.8,,1.73,0.249,,6.3,,3.64,,,,India-Tibet,Tian,Singh 2015,,,,,,,,,
,DNB,29.54,98.23,66.6,,1.8,0.277,,6.2,,3.44,,,,India-Tibet,Wang,Singh 2015,,,,,,,,,
,DNL,27.91,96.32,50.34,,0,0,,0,,0,,,,India-Tibet,Hazarika,Singh 2015,,,,,,,,,
,DRBK,34.1,78.12,72,,1.81,0.28,,0,,0,,,,India-Tibet,Hazarika,Singh 2015,,,,,,,,,
,DUL,36.3,98.1,58.8,,1.7,0.235,,6.3,,3.71,,,,India-Tibet,Tian,Singh 2015,,,,,,,,,
,DUL,36.3,98.1,55.4,,1.73,0.25,,6.3,,3.64,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,ERDO,34.52,92.7,61,,1.73,0.249,,6.22,,3.6,,,,India-Tibet,Sherrington,Singh 2015,,,,,,,,,
,ES01,31.26,92.09,71.2,,1.77,0.266,,6.2,,3.5,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,ES02,31,92.54,68.9,,1.77,0.266,,6.2,,3.5,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,ES03,30.75,92.86,66.8,,1.78,0.269,,6.2,,3.48,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,ES04,30.65,93.25,68.1,,1.72,0.245,,6.2,,3.6,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,ES06,31.66,93.2,68.8,,1.72,0.245,,6.2,,3.6,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,ES08,31.28,93.84,71.2,,1.67,0.22,,6.2,,3.71,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,ES09,31.91,93.06,68.2,,1.81,0.28,,6.2,,3.43,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,ES10,31.84,93.79,72.5,,1.68,0.226,,6.2,,3.69,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,ES11,31.91,94.14,69.5,,1.74,0.253,,6.2,,3.56,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,ES12,31.59,94.71,69.1,,1.68,0.226,,6.2,,3.69,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,ES13,31.54,95.28,70.7,,1.7,0.235,,6.2,,3.65,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,ES14,31.25,95.9,71.4,,1.74,0.253,,6.2,,3.56,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,ES15,31.19,96.5,71.7,,1.76,0.262,,6.2,,3.52,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,ES17,31.27,97.55,72.3,,1.67,0.22,,6.2,,3.71,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,ES18,31.3,97.96,71.1,,1.69,0.231,,6.2,,3.67,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,ES20,30.73,96.1,70.5,,1.7,0.235,,6.2,,3.65,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,ES23,30.69,97.26,74.6,,1.69,0.231,,6.2,,3.67,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,ES25,30.12,97.3,73.2,,1.72,0.245,,6.2,,3.6,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,ES26,29.96,97.51,73,,1.75,0.258,,6.2,,3.54,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,ES28,29.72,98.43,65.9,,1.83,0.287,,6.2,,3.39,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,ES29,30.01,96.69,69.9,,1.76,0.262,,6.2,,3.52,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,ES34,29.91,95.47,65,,1.72,0.245,,6.2,,3.6,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,ES35,29.96,94.78,60.2,,1.75,0.258,,6.2,,3.54,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,ES37,29.9,93.51,55.1,,1.79,0.273,,6.2,,3.46,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,ES38,30.02,92.97,63.6,,1.72,0.245,,6.2,,3.6,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,ES39,29.87,92.62,63.4,,1.73,0.249,,6.2,,3.58,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,ES40,29.71,92.15,64.6,,1.76,0.262,,6.2,,3.52,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,ES41,29.19,91.76,63.9,,1.79,0.273,,6.2,,3.46,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,ES43,29.04,92.23,63.3,,1.85,0.294,,6.2,,3.35,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,ES44A,29.07,93.38,62.8,,1.75,0.258,,6.2,,3.54,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,ES48,29.49,94.58,52.3,,1.85,0.294,,6.2,,3.35,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,ey,26.06,99.56,46.8,,1.75,0.258,,6.2,,3.54,,,,India-Tibet,Li,Singh 2015,,,,,,,,,
,EYA,26.1,99.9,47.8,,1.75,0.26,,6.3,,3.6,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,F01,34.05,96.3,73,,1.72,0.245,,6.4,,3.72,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,F02,33.83,97.1,66,,1.77,0.266,,6.48,,3.66,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,F03,32.85,96.58,76,,1.73,0.249,,6.48,,3.75,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,F04,32.33,95.97,72,,1.65,0.21,,6.48,,3.93,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,F06*,33.1,95.11,60,,1.68,0.226,,6.48,,3.86,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,F06,33.1,95.11,79.5,,1.71,0.24,,6.2,,3.63,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,F12,31.51,96.32,82,,1.64,0.204,,6.4,,3.9,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,F13,31.24,95.91,74.2,,1.7,0.24,,6.2,,3.65,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,F13,31.24,95.91,76,,1.73,0.249,,6.48,,3.75,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,F14,31.56,94.65,75,,1.65,0.21,,6.48,,3.93,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,F14,31.56,94.65,70.3,,1.69,0.23,,6.2,,3.67,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,F15,31.88,93.78,71.3,,1.72,0.24,,6.2,,3.6,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,F15,31.88,93.78,71,,1.74,0.253,,6.47,,3.72,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,F16,31.7,92.42,70.8,,1.74,0.25,,6.2,,3.56,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,F16,31.7,92.42,73,,1.74,0.253,,6.47,,3.72,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,G01,34.27,104.24,47,,1.77,0.266,,6.46,,3.65,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,G02,33.78,102.97,51,,1.77,0.266,,6.27,,3.54,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,G03,34.43,102.29,53,,1.78,0.269,,6.27,,3.52,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,G04,35.05,104.57,49,,1.8,0.277,,6.46,,3.59,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,G06,35.11,102.89,53,,1.69,0.231,,6.27,,3.71,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,G07,34.35,105.04,45,,1.71,0.24,,6.46,,3.78,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,G08,33.48,105,49,,1.72,0.245,,6.46,,3.76,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,G09,32.87,106.46,47,,1.75,0.258,,6.21,,3.55,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,G10,33.54,106.91,46,,1.72,0.245,,6.2,,3.6,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,G11,33.91,105.97,46,,1.73,0.249,,6.46,,3.73,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,G13,35.64,105.45,51,,1.7,0.235,,6.46,,3.8,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
